ICD8_CODE	ICD8_TEXT	ICD10_CODE	MAPPING_SCORE	MAPPING_FLAG	START_DATE	END_DATE
03990	Infectio Staphylococcica                                     	A490	1		19710401	19931231
03991	Infectio Streptococcica                                      	A491	2		19710401	19931231
03992	Morbus Haemophilus Influenzae Non Specificatus               	A492	1		19710401	19931231
03993	Lipodystrophia Intestinalis (Wipple)                         	K908A	2	B	19710401	19931231
03999	Morbus Bactericus Alius                                      	A499	3	D	19710401	19931231
04000	Poliomyelitis Acuta Paralytica Bulbaris Cum Paralysi Spinali 	A803	2		19710401	19931231
04001	Poliomyelitis Acuta Paralytica Bulbaris Cum Encephalitide    	A803	2		19710401	19931231
04008	Poliomyelitis Acuta Paralytica Bulbaris Alia Definita        	A803	2		19710401	19931231
04009	Poliomyelitis Acuta Paralytica Bulbaris                      	A803	2		19710401	19931231
04199	Poliomyelitis Acuta Paralytica Alia                          	A803	2		19710401	19931231
04299	Poliomyelitis Acuta Sine Paralysi                            	A804	1		19710401	19931231
04399	Poliomyelitis Acuta Non Specificata                          	A809	1		19710401	19931231
04499	Poliomyelitis Acuta,Sequelae                                 	B919	2	D	19710401	19931231
04509	Meningitis Serosa Coxsackie                                  	A870A	1		19710401	19931231
04519	Meningitis Serosa Echo                                       	A870B	1		19710401	19931231
04599	Meningitis Serosa                                            	A870	2		19710401	19931231
04699	Mb.Enterovirosus Systematis Nervosi Centralis Alius          	A850	3		19710401	19931231
05009	Variola Major                                                	B03	2	A	19710401	19931231
05019	Variola Minor                                                	B03	2	A	19710401	19931231
05099	Variola                                                      	B039	1		19710401	19931231
05199	Vaccinia Sine Vaccinatione                                   	B01	2	A	19710401	19931231
05200	Varicellae Sine Complicatione                                	B01	2	A	19710401	19931231
05201	Meningoencephalitis E Varicellis                             	B011	2	F	19710401	19931231
05208	Varicellae Cum Complicatione Alia Definita                   	B01	2	A	19710401	19931231
05209	Varicellae                                                   	B019	1		19710401	19931231
05300	Herpes Zoster Ophthalmicus                                   	B023	2		19710401	19931231
05301	Herpes Zoster Oticus                                         	B022	2		19710401	19931231
05302	Meningoencephalitis Ex Herpes Zoster                         	B020A	1		19710401	19931231
05303	Herpes Zoster Generalisatus                                  	B02	3	A	19710401	19931231
05308	Herpes Zoster Alius Definitus                                	B02	2	A	19710401	19931231
05309	Herpes Zoster                                                	B02	2		19710401	19931231
05400	Herpes Simplex Labialis                                      	B001B	2		19710401	19931231
05401	Herpes Simplex Oralis                                        	B00	2	A	19710401	19931231
05402	Herpes Simplex Genitalis                                     	A600	2		19710401	19931231
05403	Meningoencephalitis Ex Herpes Simplex                        	B004A	1		19710401	19931231
05404	Keratoconjunctivitis Ex Herpes Simplex                       	B005	2		19710401	19931231
05408	Herpes Simplex Alius Definitus                               	B00	2	A	19710401	19931231
05409	Herpes Simplex                                               	B009	1		19710401	19931231
05500	Morbilli Sine Complicatione                                  	B059	1		19710401	19931231
05501	Meningoencephalitis E Morbilli                               	B050	3	F/D	19710401	19931231
05508	Morbilli Cum Complicatione Alia Definata                     	B05	2	D	19710401	19931231
05509	Morbilli                                                     	B05	2	D	19710401	19931231
05600	Rubella Sine Complicatione                                   	B069	1		19710401	19931231
05601	Meningoencephalitis E Rubella                                	B060	2		19710401	19931231
05608	Rubella Cum Complicatione Alia Definita                      	B06	2	A	19710401	19931231
05609	Rubella                                                      	B06	2	A	19710401	19931231
05709	Erythema Infectiosum                                         	B083	1		19710401	19931231
05719	Exanthema Subitum                                            	B082	1		19710401	19931231
05789	Exanthema Virogenes Aliud                                    	B08	2	A	19710401	19931231
05799	Exanthema Virogenes                                          	B099A	1		19710401	19931231
06009	Febris Flava Silvatica                                       	A950	1		19710401	19931231
06019	Febris Flava Urbana                                          	A951	1		19710401	19931231
06099	Febris Flava                                                 	A959	1		19710401	19931231
06199	Febris Dengue                                                	A979	1		19710401	19931231
06209	Encephalitis Japonica                                        	A830	1		19710401	19931231
06219	Encephalitis Equina Occidentalis                             	A831	1		19710401	19931231
06229	Encephalitis Equina Orientalis                               	A832	1		19710401	19931231
06239	Encephalitis St.Louis                                        	A833	1		19710401	19931231
06249	Encephalitis Murray Valley                                   	A834	1		19710401	19931231
06299	Encephalitis Virosa Per Mosquitos Alia Et Non Spec.          	A83	2	A	19710401	19931231
06309	Meningoencephalitis Verno-Estivalis Russica(Rsse)            	A840	2	B	19710401	19931231
06319	Louping Ill                                                  	A848	3		19710401	19931231
06329	Encephalitis Europae Centralis                               	A841	1		19710401	19931231
06399	Encephalitis Virosa Per Ixodidam Aliam Et Non Specif.        	A84	2	A	19710401	19931231
06499	Encephalitis Virosa Per Arthropoda Alia                      	A852	2		19710401	19931231
06599	Encephalitis Virosa Non Specificata                          	A869	1		19710401	19931231
06600	Parkinsonismus Postencephaliticus                            	B941	3		19710401	19931231
06608	Encephalitis Virosa,Sequelae Aliae Definitae                 	B941	2		19710401	19931231
06609	Encephalitis Virosa,Sequelae                                 	B941	1		19710401	19931231
06709	Febris Haemorrhagica "Krim                                  	A980	1		19710401	19931231
06719	Febris Haemorrhagica "Omsk                                  	A981	1		19710401	19931231
06729	Morbus "Kyasanur Forest                                     	A982	1		19710401	19931231
06739	Febris Haemorrhagica Per Ixodidam Aliam                      	A93	3	C	19710401	19931231
06749	Febris Haemorrhagica Per Mosquitos                           	A929	3	C	19710401	19931231
06759	Nephroso-Nephritis Haemorrhag. (Febris Haemorrhagica Epidem.)	A985	2	A	19710401	19931231
06799	Febris Haemorrhagica Per Arthropoda Alia Et Non Specif.      	A949	3	C	19710401	19931231
06809	Febris Per Phlebotomum                                       	A949	2	C	19710401	19931231
06819	Febris Per Ixodidam                                          	A949	2	C	19710401	19931231
06829	Febris Per Mosquitos                                         	A929	2		19710401	19931231
06899	Virosis Alia Per Arthropoda                                  	A949	2	C	19710401	19931231
07000	Hepatitis Infectiosa, Epidemica Professionalis               	B19	2		19710401	19861231
07000	Hepatitis Viralis Acuta,Typus A,Cum Coma                     	B150	1		19870101	19931231
07001	Hepatitis Infectiosa, Epidemica Narcomanica                  	B19	2		19710401	19861231
07001	Hepatitis Viralis Acuta,Typus A,Coma Non Indicata            	B159A	2		19870101	19931231
07002	Hepatitis Infectiosa, Epidemica Erhvervet I Udlandet         	B19	2		19710401	19861231
07002	Hepatitis Viralis Acuta,Typus B,Cum Coma                     	B16	2	A	19870101	19931231
07003	Hepatitis Infectiosa, Epidemica Erhvervet I Indl.            	B19	2		19710401	19861231
07003	Hepatitis Viralis Acuta,Typus B,Coma Non Indicata            	B169A	2		19870101	19931231
07004	Hepatitis Viralis Acuta,Non Typus A,Non Typus B, Cum Coma    	B17	2	A	19870101	19931231
07005	Hepatitis Viralis Acuta,Non Typus A,Non B,Coma Non Indic.    	B17	2	A	19870101	19931231
07006	Hepatitis Viralis Acuta Alia Definita Cum Coma               	B17	2	A	19870101	19931231
07007	Hepatitis Viralis Acuta Alia Definita,Coma Non Indicata      	B17	2	A	19870101	19931231
07008	Hepatitis Infectiosa, Epidemica Alia Definita                	B19	2		19710401	19861231
07008	Hepatitis Viralis Acuta Cum Coma                             	B179	2		19870101	19931231
07009	Hepatitis Infectiosa, Epidemica                              	B19	2		19710401	19861231
07009	Hepatitis Viralis Acuta,Coma Non Indicata                    	B179	2		19870101	19931231
07199	Rabies                                                       	A829	1		19710401	19931231
07200	Parotitis Epidemica Sine Complicatione                       	B269	1		19710401	19931231
07201	Parotitis Epidemica Cum Pancreatitide                        	B263	1		19710401	19931231
07202	Parotitis Epidemica Cum Meningoencephalitide                 	B268	2		19710401	19931231
07203	Parotitis Epidemica Cum Orchitide                            	B260	1		19710401	19931231
07204	Parotitis Epidemica Cum Oophoritide                          	B268	2		19710401	19931231
07208	Parotitis Epidemica Cum Complicatione Alia Definita          	B268	2		19710401	19931231
07209	Parotitis Epidemica                                          	B26	2		19710401	19931231
07399	Ornithosis(Psittacosis)                                      	A709	1	B	19710401	19931231
07409	Herpangina                                                   	B085	1		19710401	19931231
07419	Myalgia(Pleurodynia) Epidemica(Bornholm)                     	B330	1		19710401	19931231
07429	Myocarditis Coxsackie                                        	B332	2	E	19710401	19931231
07499	Virosis Coxsackie Alia                                       	B341A	2	C	19710401	19761231
07499	Virosis Coxsackie Alia Specificata                           	B341A	2	C	19770101	19931231
07500	Mononucleosis Infectiosa Sine Complicatione                  	B27	2	A	19710401	19931231
07501	Mononucleosis Infectiosa Cum Meningitide                     	B27	3	A	19710401	19931231
07508	Mononucleosis Infectiosa Cum Complicatione Alia Definita     	B27	2	A	19710401	19931231
07509	Mononucleosis Infectiosa                                     	B279	1		19710401	19931231
07699	Trachoma                                                     	A719	1		19710401	19931231
07799	Trachoma,Sequelae                                            	B940	1		19710401	19931231
07809	Conjunctivitis Inclusionis                                   	A740	2	D	19710401	19931231
07819	Keratoconjunctivitis (Infectiosa)Epidemica                   	B30	3		19710401	19931231
07829	Keratoconjunctivitis Follicularis Ex Adenoviro               	B300	3		19710401	19931231
07889	Conjunctivitis Virosa Alia                                   	B30	2		19710401	19931231
07899	Virosis Conjunctiva Non Specificata                          	B309	1		19710401	19931231
07909	Molluscum Contagiosum                                        	B081	1		19710401	19931231
07910	Verruca Vulgaris                                             	B079	2		19710401	19931231
07911	Verruca Plantaris                                            	B079C	1		19710401	19931231
07912	Verruca Plana Juvenilis                                      	B079A	1		19710401	19931231
07918	Verruca Contagiosa Alia Definita                             	B079	2	C	19710401	19931231
07919	Verruca Contagiosa                                           	B079	2	D	19710401	19931231
07929	Choriomeningitis Lymphocytaria Serosa                        	A872	1	B	19710401	19931231
07939	Lymphoreticulosis Benigna (Cat-Scratch Disease)              	A281	1	B	19710401	19931231
07949	Stomatitis Aphthosa Epizootica (Mund-Og Klovesyge)           	B088A	2		19710401	19931231
07950	Virosis Cytomegalica Congenita                               	P351	1		19710401	19931231
07951	Virosis Cytomegalica Acquisita                               	B25	2	A	19710401	19931231
07959	Virosis Cytomegalica                                         	B259	2	D	19710401	19931231
07980	Infectio Virosa Echo                                         	B341B	1		19710401	19761231
07981	Infectio Adenovirosa                                         	B340	2		19710401	19761231
07982	Vertigo Epidemica                                            	A881	1		19710401	19931231
07983	Aids (Erhvervet Immundefekt Syndrom)                         	B249	2		19830101	19931231
07984	Infectiones Chlamydiae Aliae                                 	A749	3		19860101	19931231
07989	Virosis Alia Specificata                                     	B349	3	C	19770101	19931231
07989	Virosis Alia(Alibi Non Classificabilis 040-079.82)           	B349	3	C	19710401	19761231
07999	Virosis Non Specificata                                      	B349	1		19710401	19931231
08099	Typhus Exanthematicus Per Pediculum Vestimenti               	A750	2	B	19710401	19931231
08109	Typhus Exanthematicus Per Pulicem Muris                      	A752	1		19710401	19931231
08119	Typhus Exanthematicus,Typus Brill                            	A751	2		19710401	19931231
08129	Typhus Exanthematicus Per Trombiculam                        	A75	2	A	19710401	19931231
08199	Typhus Exanthematicus                                        	A759	1		19710401	19931231
08209	Typhus Exanthematicus,Typus "Rocky Mountain                 	A770	1	B	19710401	19931231
08219	Typhus Exanthematicus,Typus Boutonnosus                      	A771	1	B	19710401	19931231
08229	Typhus Exanthematicus,Typus Sibericus                        	A772	1	B	19710401	19931231
08299	Typhus Exanthematicus Alius                                  	A77	2	A	19710401	19931231
08309	Variola Per Rickettsiam                                      	A791	1	B	19710401	19931231
08319	Febris Q                                                     	A789	1		19710401	19931231
08329	Febris Quintana,Wolhynica                                    	A790	1		19710401	19931231
08389	Rickettsiosis Alia                                           	A798	2		19710401	19931231
08399	Ricketsiosis                                                 	A799	1		19710401	19931231
08409	Malaria Per Plasmodium Falciparum                            	B50	2	D	19710401	19931231
08419	Malaria Per Plasmodium Vivax                                 	B51	2	D	19710401	19931231
08429	Malaria Per Plasmodium Malariae                              	B52	2	D	19710401	19931231
08439	Malaria Per Plasmodium Ovale                                 	B530	1		19710401	19931231
08449	Malaria Haemoglobinurica                                     	B508	2		19710401	19931231
08459	Malaria Recurrens Inducta, Therapeutica                      	B54	3		19710401	19931231
08480	Malaria Mixta                                                	B538	3		19710401	19931231
08489	Malaria Alia                                                 	B53	2		19710401	19931231
08499	Malaria                                                      	B54	2		19710401	19931231
08509	Leishmaniasis Visceralis (Kala-Azar)                         	B550	1		19710401	19931231
08519	Leishmaniasis Cutanea                                        	B551	1		19710401	19931231
08529	Leishmaniasis Mucocutanea                                    	B552	1		19710401	19931231
08599	Leishmaniasis                                                	B559	1		19710401	19931231
08609	Trypanosomiasis Americana Cum Affectione Cordis              	B57	2	A	19710401	19931231
08689	Trypanosomiasis Americana Cum Affectione Organorum Aliorum   	B57	2	A	19710401	19931231
08699	Trypanosomiasis Americana (Affectione Organi Non Indic.)     	B579	1		19710401	19931231
08709	Trypanosomiasis Gambiensis                                   	B560	1		19710401	19931231
08719	Trypanosomiasis Rhodesiensis                                 	B561	1		19710401	19931231
08789	Trypanosomiasis Africana                                     	B569	1		19710401	19931231
08799	Trypanosomiasis Non Specificata                              	B569	3	C	19710401	19931231
08809	Febris Recurrens Per Pediculum Vestimenti                    	A680	1		19710401	19931231
08819	Febris Recurrens Per Ixodidam                                	A681	2	D	19710401	19931231
08899	Febris Recurrens                                             	A689	2	D	19710401	19931231
