"Order","Category","Code","Disease"
"191","Arthropod-borne viral diseases","062.4","Murray Valley encephalitis"
"192","Arthropod-borne viral diseases","062.9","Other and unspecified"
"193","Arthropod-borne viral diseases","063","Tick-borne viral encephalitis"
"194","Arthropod-borne viral diseases","063.0","Russian spring-summer (taiga) encephalitis"
"195","Arthropod-borne viral diseases","063.1","Louping ill"
"196","Arthropod-borne viral diseases","063.2","Central European encephalitis"
"197","Arthropod-borne viral diseases","063.9","Other and unspecified"
"198","Arthropod-borne viral diseases","064","Viral encephalitis transmitted by other arthropods"
"199","Arthropod-borne viral diseases","065","Viral encephalitis, unspecified"
"200","Arthropod-borne viral diseases","066","Late effects of viral encephalitis"
"201","Arthropod-borne viral diseases","067","Arthropod-borne haemorrhagic fever"
"202","Arthropod-borne viral diseases","067.0","Crimean haemorrhagic fever"
"203","Arthropod-borne viral diseases","067.1","Omsk haemorrhagic fever"
"204","Arthropod-borne viral diseases","067.2","Kyasanur Forest disease"
"205","Arthropod-borne viral diseases","067.3","Other tick-borne haemorrhagic fever"
"206","Arthropod-borne viral diseases","067.4","Mosquito-borne haemorrhagic fever"
"207","Arthropod-borne viral diseases","067.5","Haemorrhagic nephroso-nephritis"
"208","Arthropod-borne viral diseases","067.9","Other and unspecified arthropod-borne haemorrhagic fever"
"209","Arthropod-borne viral diseases","068","Other arthropod-borne viral diseases"
"210","Arthropod-borne viral diseases","068.0","Phlebotomous fever"
"211","Arthropod-borne viral diseases","068.1","Tick-borne fever"
"212","Arthropod-borne viral diseases","068.2","Mosquito-borne fever"
"213","Arthropod-borne viral diseases","068.9","Other arthropod-borne viral diseases"
"214","Other viral diseases","070","Infectious hepatitis"
"215","Other viral diseases","071","Rabies"
"216","Other viral diseases","072","Mumps"
"217","Other viral diseases","073","Psittacosis"
"218","Other viral diseases","074","Specified disease due to Coxsackie virus"
"219","Other viral diseases","074.0","Herpangina"
"220","Other viral diseases","074.1","Epidemic pleurodynia (Bornholm disease)"
"221","Other viral diseases","074.2","Coxsackie myocarditis"
"222","Other viral diseases","074.9","Other"
"223","Other viral diseases","075","Infectious mononucleosis"
"224","Other viral diseases","076","Trachoma, active"
"225","Other viral diseases","077","Late effects of trachoma"
"226","Other viral diseases","078","Other viral diseases of the conjunctiva"
"227","Other viral diseases","078.0","Inclusion conjunctivitis"
"228","Other viral diseases","078.1","Epidemic keratoconjunctivitis"
"229","Other viral diseases","078.2","Acute adenoviral follicular conjunctivitis"
"230","Other viral diseases","078.8","Other"
"231","Other viral diseases","078.9","Viral conjunctivitis, unspecified"
"232","Other viral diseases","079","Other viral diseases"
"233","Other viral diseases","079.0","Molluscum contagiosum"
"234","Other viral diseases","079.1","Viral warts"
"235","Other viral diseases","079.2","Lymphocytic choriomeningitis"
"236","Other viral diseases","079.3","Cat-scratch disease"
"237","Other viral diseases","079.4","Foot and mouth disease"
"238","Other viral diseases","079.5","Cytomegalic inclusion disease"
"239","Other viral diseases","079.8","Other"
"240","Other viral diseases","079.9","Viral infection, unspecified"
"241","Rickettsioses and other arthropod-borne diseases","080","Epidemic louse-borne typhus"
"242","Rickettsioses and other arthropod-borne diseases","081","Other typhus"
"243","Rickettsioses and other arthropod-borne diseases","081.0","Endemic flea-borne"
"244","Rickettsioses and other arthropod-borne diseases","081.1","Brill's disease"
"245","Rickettsioses and other arthropod-borne diseases","081.2","Mite-borne"
"246","Rickettsioses and other arthropod-borne diseases","081.9","Unspecified"
"247","Rickettsioses and other arthropod-borne diseases","082","Tick-borne rickettsiosis"
"248","Rickettsioses and other arthropod-borne diseases","082.0","Spotted fevers"
"249","Rickettsioses and other arthropod-borne diseases","082.1","Boutonneuse fever"
"250","Rickettsioses and other arthropod-borne diseases","082.2","North Asian tick-borne typhus fever"
"251","Rickettsioses and other arthropod-borne diseases","082.9","Other"
"252","Rickettsioses and other arthropod-borne diseases","083","Other rickettsioses"
"253","Rickettsioses and other arthropod-borne diseases","083.0","Rickettsial pox"
"254","Rickettsioses and other arthropod-borne diseases","083.1","Q-fever"
"255","Rickettsioses and other arthropod-borne diseases","083.2","Wolhynian fever (trench fever)"
"256","Rickettsioses and other arthropod-borne diseases","083.8","Other"
"257","Rickettsioses and other arthropod-borne diseases","083.9","Unspecified"
"258","Rickettsioses and other arthropod-borne diseases","084","Malaria"
"259","Rickettsioses and other arthropod-borne diseases","084.0","Falicparum malaria (malignant tertian)"
"260","Rickettsioses and other arthropod-borne diseases","084.1","Vivax malaria (benign tertian)"
"261","Rickettsioses and other arthropod-borne diseases","084.2","Malariae malaria (quartan)"
"262","Rickettsioses and other arthropod-borne diseases","084.3","Ovale malaria"
"263","Rickettsioses and other arthropod-borne diseases","084.4","Blackwater fever"
"264","Rickettsioses and other arthropod-borne diseases","084.5","Recurrent induced malaria"
"265","Rickettsioses and other arthropod-borne diseases","084.8","Other"
"266","Rickettsioses and other arthropod-borne diseases","084.9","Unspecified forms"
"267","Rickettsioses and other arthropod-borne diseases","085","Leishmaniasis"
"268","Rickettsioses and other arthropod-borne diseases","085.0","Visceral (Kala-azar)"
"269","Rickettsioses and other arthropod-borne diseases","085.1","Cutaneous (oriental sore)"
"270","Rickettsioses and other arthropod-borne diseases","085.2","Mucocutaneous (American)"
"271","Rickettsioses and other arthropod-borne diseases","085.9","Unspecified"
"272","Rickettsioses and other arthropod-borne diseases","086","American trypanosomiasis"
"273","Rickettsioses and other arthropod-borne diseases","086.0","With heart involvement"
"274","Rickettsioses and other arthropod-borne diseases","086.8","With other organ involvement"
"275","Rickettsioses and other arthropod-borne diseases","086.9","Without mention of organ involvement"
"276","Rickettsioses and other arthropod-borne diseases","087","Other trypanosomiasis"
"277","Rickettsioses and other arthropod-borne diseases","087.0","Gambian"
"278","Rickettsioses and other arthropod-borne diseases","087.1","Rhodesian"
"279","Rickettsioses and other arthropod-borne diseases","087.8","African trypanosomiasis, unspecified"
"280","Rickettsioses and other arthropod-borne diseases","087.9","Trypanosomiasis, unspecified"
"281","Rickettsioses and other arthropod-borne diseases","088","Relapsing fever"
"282","Rickettsioses and other arthropod-borne diseases","088.0","Louse-borne"
"283","Rickettsioses and other arthropod-borne diseases","088.1","Tick-borne"
"284","Rickettsioses and other arthropod-borne diseases","088.9","Unspecified"
"285","Rickettsioses and other arthropod-borne diseases","089","Other arthropod-borne diseases"
"286","Rickettsioses and other arthropod-borne diseases","089.1","Bartonellosis"
"287","Rickettsioses and other arthropod-borne diseases","089.9","Other"
"288","Syphilis and other venereal diseases","090","Congenital syphilis"
"289","Syphilis and other venereal diseases","090.0","Early congenital syphilis, symptomatic"
"290","Syphilis and other venereal diseases","090.1","Early congenital syphilis, latent"
"291","Syphilis and other venereal diseases","090.2","Early congenital syphilis, unspecified"
"292","Syphilis and other venereal diseases","090.3","Interstitial keratitis"
"293","Syphilis and other venereal diseases","090.4","Juvenile neurosyphilis"
"294","Syphilis and other venereal diseases","090.5","Other late congenital syphilis, symptomatic"
"295","Syphilis and other venereal diseases","090.6","Other late congenital syphilis, latent"
"296","Syphilis and other venereal diseases","090.7","Late congenital syphilis, unspecified"
"297","Syphilis and other venereal diseases","090.9","Congenital syphilis, unspecified"
"298","Syphilis and other venereal diseases","091","Early syphilis, symptomatic"
"299","Syphilis and other venereal diseases","091.0","Primary syphilis, except extragenital chancre"
"300","Syphilis and other venereal diseases","091.1","Extragenital chancre"
"301","Syphilis and other venereal diseases","091.2","Secondary syphilis of skin and mucous membranes"
"302","Syphilis and other venereal diseases","091.3","Secondary syphilis, relapse (treated, untreated)"
"303","Syphilis and other venereal diseases","091.8","Other recently acquired syphilis, symptomatic"
"304","Syphilis and other venereal diseases","091.9","Early syphilis, unspecified"
"305","Syphilis and other venereal diseases","092","Early syphilis, latent"
"306","Syphilis and other venereal diseases","092.0","Early syphilis, latent, serological relapse after treatment"
"307","Syphilis and other venereal diseases","092.9","Early syphilis, latent, unspecified"
"308","Syphilis and other venereal diseases","093","Cardiovascular syphilis"
"309","Syphilis and other venereal diseases","093.0","Aneurysm of aorta, specified as syphilitic"
"310","Syphilis and other venereal diseases","093.9","Other cardiovascular syphilis"
"311","Syphilis and other venereal diseases","094","Syphilis of central nervous system"
"312","Syphilis and other venereal diseases","094.0","Tabes dorsalis"
"313","Syphilis and other venereal diseases","094.1","General paresis"
"314","Syphilis and other venereal diseases","094.9","Other syphilis of central nervous system"
"315","Syphilis and other venereal diseases","095","Other forms of late syphilis, with symptoms"
"316","Syphilis and other venereal diseases","096","Late syphilis, latent"
"317","Syphilis and other venereal diseases","097","Other syphilis and not specified"
"318","Syphilis and other venereal diseases","097.0","Late syphilis, unspecified"
"319","Syphilis and other venereal diseases","097.1","Latent syphilis, unspecified"
"320","Syphilis and other venereal diseases","097.9","Syphilis, unspecified"
"321","Syphilis and other venereal diseases","098","Gonococcal infections"
"322","Syphilis and other venereal diseases","098.0","Acute of genito-urinary tract"
"323","Syphilis and other venereal diseases","098.1","Chronic of genito-urinary system"
"324","Syphilis and other venereal diseases","098.2","Of eye"
"325","Syphilis and other venereal diseases","098.3","Of joint"
"326","Syphilis and other venereal diseases","098.8","Of other sites"
"327","Syphilis and other venereal diseases","098.9","Site unspecified"
"328","Syphilis and other venereal diseases","099","Other veneral disease"
"329","Syphilis and other venereal diseases","099.0","Chancroid"
"330","Syphilis and other venereal diseases","099.1","Lymphogranuloma verereum"
"331","Syphilis and other venereal diseases","099.2","Granuloma inguinale"
"332","Syphilis and other venereal diseases","099.9","Other and unspecified"
"333","Other spirochaetal diseases","100","Leptospirosis"
"334","Other spirochaetal diseases","100.0","Leptospurosis icterohaemorrhagiea"
"335","Other spirochaetal diseases","100.8","Other"
"336","Other spirochaetal diseases","100.9","Unspecified"
"337","Other spirochaetal diseases","101","Vincent's angina"
"338","Other spirochaetal diseases","102","Yaws"
"339","Other spirochaetal diseases","102","Initial lesions"
"340","Other spirochaetal diseases","102.1","Multiple papillomata and ""wet crab"" yaws"
"341","Other spirochaetal diseases","102.2","Other early skin lesions"
"342","Other spirochaetal diseases","102.3","Hyperkeratosis"
"343","Other spirochaetal diseases","102.4","Gummata, ulcers"
"344","Other spirochaetal diseases","102.5","Gangosa"
"345","Other spirochaetal diseases","102.6","Bone and joint lesions"
"346","Other spirochaetal diseases","102.7","Other manifestations"
"347","Other spirochaetal diseases","102.8","Latent yaws"
"348","Other spirochaetal diseases","102.9","Yaws, unspecified"
"349","Other spirochaetal diseases","103","Pinta"
"350","Other spirochaetal diseases","103","Primary lesions"
"351","Other spirochaetal diseases","103.1","Intermediate lesions"
"352","Other spirochaetal diseases","103.2","Late lesions"
"353","Other spirochaetal diseases","103.3","Mixed lesions"
"354","Other spirochaetal diseases","103.9","Unspecified"
"355","Other spirochaetal diseases","104","Other spirochaetal infection"
"356","Other spirochaetal diseases","104.0","Non-venereal endemic syphilis"
"357","Other spirochaetal diseases","104.9","Other"
"358","Mycoses","110","Dermatophytosis"
"359","Mycoses","110","Of scalp and beard"
"360","Mycoses","110.1","Of foot"
"361","Mycoses","110.9","Of other and unspecified sites"
"362","Mycoses","111","Dermatomycosis, other and unspecified"
"363","Mycoses","111.0","Pityriasis versicolor"
"364","Mycoses","111.1","Tinea nigra"
"365","Mycoses","111.2","Tinea blanca"
"366","Mycoses","111.8","Other"
"367","Mycoses","111.9","Unspecified"
"368","Mycoses","112","Moniliasis"
"369","Mycoses","113","Actinomycosis"
"370","Mycoses","114","Coccidioidomycosis"
"371","Mycoses","115","Histoplasmosis"
"372","Mycoses","116","Blastomycosis"
"373","Mycoses","116.0","European"
"374","Mycoses","116.1","North American"
"375","Mycoses","116.2","South American"
"376","Mycoses","116.9","Other and unspecified"
"377","Mycoses","117","Other systemic mycosis"
"378","Mycoses","117.0","Rhinosporidiosis"
"379","Mycoses","117.1","Sporotrichosis"
"380","Mycoses","117.2","Chromomycosis"
"381","Mycoses","117.3","Aspergillosis"
"382","Mycoses","117.4","Maduromycosis"
"383","Mycoses","117.8","Other"
"384","Mycoses","117.9","Unspecified"
"385","Helminthiases","120","Schistosomiasis"
"386","Helminthiases","120.0","Schistosoma haematobium"
"387","Helminthiases","120.1","Schistosoma Mansoni"
"388","Helminthiases","120.2","Schistosoma japonicum"
"389","Helminthiases","120.3","Cutaneous"
"390","Helminthiases","120.8","Other"
"391","Helminthiases","120.9","Unspecified"
"392","Helminthiases","121","Other trematode infection"
"393","Helminthiases","121.0","Opisthorchiasis"
"394","Helminthiases","121.1","Clonorchiasis"
"395","Helminthiases","121.2","Paragonomiasis"
"396","Helminthiases","121.3","Fascioliasis"
"397","Helminthiases","121.4","Fasciolopsiasis"
"398","Helminthiases","121.9","Other and unspecified"
"399","Helminthiases","122","Hydatidosis"
"400","Helminthiases","122.0","Of liver"
"401","Helminthiases","122.1","Of lung"
"402","Helminthiases","122.8","Of other specified sites"
"403","Helminthiases","122.9","Of unspecified site"
"404","Helminthiases","123","Other cestode infection"
"405","Helminthiases","123.0","Taenia solium infection, intestinal form"
"406","Helminthiases","123.1","Cysticercosis"
"407","Helminthiases","123.2","Taenia saginata infection"
"408","Helminthiases","123.3","Taeniasis, unspecified"
"409","Helminthiases","123.4","Diphyllobothriasis, intestinal"
"410","Helminthiases","123.5","Sparganosis (larval diphyllobothriasis)"
"411","Helminthiases","123.6","Hymenolepiasis"
"412","Helminthiases","123.9","Other and unspecified"
"413","Helminthiases","124","Trichiniasis"
"414","Helminthiases","125","Filarial infection"
"415","Helminthiases","125.0","Wuchereriasis"
"416","Helminthiases","125.1","Brugia filariasis"
"417","Helminthiases","125.2","Loiasis"
"418","Helminthiases","125.3","Onchocercosis"
"419","Helminthiases","125.4","Acanthocheilonemiasis"
"420","Helminthiases","125.5","Mansonellosis"
"421","Helminthiases","125.8","Other filariasis"
"422","Helminthiases","125.9","Unspecified"
"423","Helminthiases","126","Ankylostomiasis"
"424","Helminthiases","126","Ankylostoma duodenale"
"425","Helminthiases","126.1","Necator americanus"
"426","Helminthiases","126.8","Other Ankylostoma"
"427","Helminthiases","126.9","Unspecified"
"428","Helminthiases","127","Other intestinal helminthiasis"
"429","Helminthiases","127.0","Ascariasis"
"430","Helminthiases","127.1","Strongyloidiasis"
"431","Helminthiases","127.2","Trichuriasis"
"432","Helminthiases","127.3","Enterobiasis"
"433","Helminthiases","127.4","Other intestinal nematode infection"
"434","Helminthiases","127.5","Mixed intestinal helminthiasis"
"435","Helminthiases","127.9","Intestinal helminthiasis, unspecified"
"436","Helminthiases","128","Other and unspecified helminthiasis"
"437","Helminthiases","128.0","Larva migrans, visceralis"
"438","Helminthiases","128.8","Other"
"439","Helminthiases","128.9","Unspecified"
"440","Helminthiases","129","Intestinal parasitism, unspecified"
"441","Other infective and parasitic diseases","130","Toxoplasmosis"
"442","Other infective and parasitic diseases","130.0","Acquired"
"443","Other infective and parasitic diseases","130.1","Congenital active"
"444","Other infective and parasitic diseases","130.2","Late effects of intra-utrine infection"
"445","Other infective and parasitic diseases","130.9","Unspecified"
"446","Other infective and parasitic diseases","131","Trichomoniasis urogenitalis"
"447","Other infective and parasitic diseases","132","Pediculosis"
"448","Other infective and parasitic diseases","133","Acariasis"
"449","Other infective and parasitic diseases","133.0","Scabies"
"450","Other infective and parasitic diseases","133.9","Other"
"451","Other infective and parasitic diseases","134","Other infestation"
"452","Other infective and parasitic diseases","134.0","Myiasis"
"453","Other infective and parasitic diseases","134.1","Phthirus infestation"
"454","Other infective and parasitic diseases","134.2","Other arthropod infestation"
"455","Other infective and parasitic diseases","134.3","Hirudiniasis"
"456","Other infective and parasitic diseases","134.9","Other and unspecified"
"457","Other infective and parasitic diseases","135","Sarcoidosis"
"458","Other infective and parasitic diseases","136","Other and unspecified infective and parasitic diseases"
"459","Malignant neoplasm of buccal cavity and pharynx","140","Malignant neoplasm of lip"
"460","Malignant neoplasm of buccal cavity and pharynx","140.0","Upper lip"
"461","Malignant neoplasm of buccal cavity and pharynx","140.1","Lower lip"
"462","Malignant neoplasm of buccal cavity and pharynx","140.2","Both lips"
"463","Malignant neoplasm of buccal cavity and pharynx","140.9","Lip unspecified"
"464","Malignant neoplasm of buccal cavity and pharynx","141","Malignant neoplasm of tongue"
"465","Malignant neoplasm of buccal cavity and pharynx","141.0","Base of tongue"
"466","Malignant neoplasm of buccal cavity and pharynx","141.1","Dorsal surface of tongue"
"467","Malignant neoplasm of buccal cavity and pharynx","141.2","Borders and tip of tongue"
"468","Malignant neoplasm of buccal cavity and pharynx","141.3","Ventral surface of tongue"
"469","Malignant neoplasm of buccal cavity and pharynx","141.9","Part unspecified"
"470","Malignant neoplasm of buccal cavity and pharynx","142","Malignant neoplasm of salivary gland"
"471","Malignant neoplasm of buccal cavity and pharynx","142.0","Parotid gland"
"472","Malignant neoplasm of buccal cavity and pharynx","142.8","Other specified salivary gland"
